token,total_count,baseline_count,up_count_x,down_count_x,baseline_freq,up_freq,down_freq,up_enrichment,down_enrichment,up_vs_down,up_pvalue,down_pvalue,up_significant,down_significant,up_delta_mean,up_delta_std,up_count_y,down_delta_mean,down_delta_std,down_count_y,baseline_rank_mean,up_rank_mean,down_rank_mean,up_rank_change,down_rank_change,category
"
",35,12,11,12,0.0021390374331550803,0.0021446675765256387,0.0022304832713754648,0.013773671452321666,0.06036163394250956,-0.046587962490187894,1.0,1.0,False,False,0.875,1.415317985471816,11.0,2.2386363636363638,1.936858398165817,11.0,1.0,1.0,1.0,0.0,0.0,UP_SUPPRESSED|DOWN_SUPPRESSED
"

",13,4,2,7,0.00071301247771836,0.0003899395593682979,0.0013011152416356876,-0.6077147052939482,0.7384335390551474,-1.3461482443490955,0.7650018327029426,0.5009997432331685,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DOWN_SAMPLING_ARTIFACT
 ,29,9,10,10,0.0016042780748663102,0.0019496977968414895,0.0018587360594795538,0.26675441262219296,0.19786515769244456,0.0688892549297484,0.84491981265795,0.9272363370920554,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NEUTRAL
" 

",45,13,12,20,0.0023172905525846704,0.0023396373562097877,0.0037174721189591076,0.022335684955745914,0.6453241346636659,-0.62298844970792,1.0,0.24333279151019482,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DOWN_SAMPLING_ARTIFACT
" """,64,28,21,15,0.004991087344028521,0.004094365373367128,0.0027881040892193307,-0.26929848761801695,-0.7976193611850624,0.5283208735670455,0.5854753123835383,0.08980241943522733,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NEUTRAL
 (,19,8,6,5,0.00142602495543672,0.0011698186781048938,0.0009293680297397769,-0.23331919051245048,-0.5246008667786467,0.2912816762661962,0.9204732813047523,0.631489411683463,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NEUTRAL
 **,17,4,1,12,0.00071301247771836,0.00019496977968414895,0.0022304832713754648,-1.1926772060151045,1.4388732571962393,-2.631550463211344,0.42646417443286533,0.06643893112665249,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DOWN_SAMPLING_ARTIFACT
 A,12,3,3,6,0.0005347593582887701,0.0005849093390524469,0.0011152416356877324,0.12925088887225783,0.8677165560001138,-0.738465667127856,1.0,0.4654453548485197,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DOWN_SAMPLING_ARTIFACT
 AC,20,6,9,5,0.0010695187165775401,0.0017547280171573405,0.0009293680297397769,0.643824061702016,-0.16203078739393834,0.8058548490959543,0.48953751965613634,1.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UP_SAMPLING_ARTIFACT
 Also,56,20,20,16,0.0035650623885918,0.003899395593682979,0.002973977695167286,0.12925088887225755,-0.24449294758591142,0.373743836458169,0.9001096865780848,0.7075650994926889,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NEUTRAL
 Alternatively,13,5,6,2,0.00089126559714795,0.0011698186781048938,0.0003717472118959108,0.3516433102087059,-0.9396383660574904,1.2912816762661963,0.8817294959721979,0.48334352733900954,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NEUTRAL
 Ass,10,10,0,0,0.0017825311942959,0.0,0.0,-3.3301807297650394,-3.3990699846947874,0.06888925492974796,0.006761061590623403,0.005406763395317738,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NEUTRAL
 B,10,3,4,3,0.0005347593582887701,0.0007798791187365958,0.0005576208178438662,0.4511789837596201,0.06036163394250956,0.3908173498171106,0.9055439560691109,1.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NEUTRAL
 But,65,28,21,16,0.004991087344028521,0.004094365373367128,0.002973977695167286,-0.26929848761801695,-0.7101565199347233,0.44085803231670634,0.5854753123835383,0.12778987581502838,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NEUTRAL
 EU,13,2,9,2,0.00035650623885918,0.0017547280171573405,0.0003717472118959108,1.866216483038464,0.06036163394250956,1.8058548490959545,0.04992678545580071,1.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UP_SAMPLING_ARTIFACT
 For,18,2,9,7,0.00035650623885918,0.0017547280171573405,0.0013011152416356876,1.866216483038464,1.4753991332213536,0.39081734981711036,0.04992678545580071,0.16241487662781462,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UP_SAMPLING_ARTIFACT|DOWN_SAMPLING_ARTIFACT
 Germany,43,16,15,12,0.00285204991087344,0.002924546695262234,0.0022304832713754648,0.041788047621918435,-0.3266614891667377,0.36844953678865616,1.0,0.6477516510390711,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NEUTRAL
 However,11,4,3,4,0.00071301247771836,0.0005849093390524469,0.0007434944237918215,-0.19267720601510446,0.06036163394250956,-0.253038839957614,1.0,1.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NEUTRAL
 Hunt,26,6,15,5,0.0010695187165775401,0.002924546695262234,0.0009293680297397769,1.3218959668146537,-0.16203078739393834,1.483926754208592,0.050598533462273915,1.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UP_SAMPLING_ARTIFACT
 I,147,43,43,61,0.007664884135472371,0.008383700526418405,0.01133828996282528,0.12925088887225783,0.5551263256920875,-0.4258754368198297,0.7572593130728191,0.05878635181449686,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DOWN_SAMPLING_ARTIFACT
 It,27,10,5,12,0.0017825311942959,0.0009748488984207448,0.0022304832713754648,-0.7452182290438834,0.3013697334463044,-1.0465879624901877,0.38935415075669966,0.7552360930812431,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NEUTRAL
 Lee,26,6,15,5,0.0010695187165775401,0.002924546695262234,0.0009293680297397769,1.3218959668146537,-0.16203078739393834,1.483926754208592,0.050598533462273915,1.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UP_SAMPLING_ARTIFACT
 Let,44,12,16,16,0.0021390374331550803,0.003119516474946383,0.002973977695167286,0.516274011981505,0.44738475705175684,0.06888925492974818,0.42035123773617966,0.4973270221050732,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UP_SAMPLING_ARTIFACT
 Maybe,76,30,25,21,0.0053475935828877,0.004874244492103724,0.003903345724907063,-0.12450570337352522,-0.4344030578070682,0.309897354433543,0.835284008885453,0.33043358238650133,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NEUTRAL
 Parliament,11,4,5,2,0.00071301247771836,0.0009748488984207448,0.0003717472118959108,0.3922852947060518,-0.6766039602236964,1.0688892549297482,0.8929586332650301,0.7209714329833652,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NEUTRAL
 Raw,15,3,6,6,0.0005347593582887701,0.0011698186781048938,0.0011152416356877324,0.9366058109298618,0.8677165560001138,0.06888925492974807,0.42245020950791823,0.4654453548485197,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UP_SAMPLING_ARTIFACT|DOWN_SAMPLING_ARTIFACT
 Ray,24,6,13,5,0.0010695187165775401,0.0025346071358939366,0.0009293680297397769,1.1292508888722579,-0.16203078739393834,1.2912816762661963,0.11532521393671841,1.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UP_SAMPLING_ARTIFACT
 Royal,11,11,0,0,0.00196078431372549,0.0,0.0,-3.455711611848898,-3.5246008667786466,0.0688892549297484,0.004092892062331832,0.0032001955722904866,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NEUTRAL
 Scottish,13,4,4,5,0.00071301247771836,0.0007798791187365958,0.0009293680297397769,0.12925088887225783,0.32339603977630355,-0.19414515090404572,1.0,0.9499067877020392,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NEUTRAL
 Smooth,19,7,7,5,0.0012477718360071302,0.0013647884577890426,0.0009293680297397769,0.12925088887225783,-0.35467586533633416,0.483926754208592,1.0,0.8287199922414082,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NEUTRAL
 So,42,17,14,11,0.0030303030303030303,0.002729576915578085,0.0020446096654275093,-0.13378351696153618,-0.5246008667786467,0.3908173498171105,0.9123303065055278,0.40348260016763915,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NEUTRAL
