rank,token,token_id,mean_logit_increase
1, struct,2036,8.878999710083008
2,賢,119085,8.869943618774414
3, XYZ,71089,8.851845741271973
4, figure,7071,8.62009334564209
5, graph,4771,8.55655288696289
6, '.',24361,8.525285720825195
7, funnel,60219,8.48635196685791
8, reach,5545,8.47763442993164
9, perhaps,8365,8.425471305847168
10, CSR,62976,8.411689758300781
11, RSA,45641,8.391739845275879
12, SOP,86507,8.373406410217285
13, rever,35137,8.354365348815918
14, figures,12396,8.343594551086426
15, hence,16085,8.34299373626709
16,‧,144492,8.269417762756348
17, view,1651,8.256956100463867
18, suit,7781,8.166756629943848
19, ISS,36396,8.156820297241211
20, infra,48176,8.143744468688965
21," '-',",50349,8.113325119018555
22, segue,36770,8.099477767944336
23, leading,6388,8.088163375854492
24, */),89855,8.082460403442383
25, mist,8600,8.063937187194824
26, tess,79830,8.062446594238281
27, bull,16811,8.052430152893066
28, DS,20578,8.05195426940918
29, sack,52333,8.041227340698242
30, imm,4893,8.039052963256836
31, warrant,7091,8.0162992477417
32, tent,15632,8.004205703735352
33, DEA,74910,7.938409328460693
34, part,949,7.93645715713501
35, modulus,74024,7.932659149169922
36, entail,85992,7.891357421875
37, wise,23335,7.885822296142578
38, underline,51874,7.867190361022949
39, ';',81954,7.864925384521484
40, indexes,24953,7.857701778411865
41, inf,4132,7.84841775894165
42, adverts,87725,7.832832336425781
43, refrain,57508,7.824960231781006
44, fig,4144,7.814116477966309
45, reachable,68284,7.805602073669434
46, contr,6027,7.799517631530762
47, eighth,36377,7.794726371765137
48, inform,6051,7.791523456573486
49, SF,23463,7.782427787780762
50, .',43584,7.7823991775512695
